ticker,version,quality_classification
TATACONSUM.NS,4d67a31ef2d1,AMBIGUOUS
TATASTEEL.NS,b6ad42ab4e15,AMBIGUOUS
TATASTEEL.NS,182b9748cbf7,AMBIGUOUS
TATASTEEL.NS,6b0ec6e931d3,AMBIGUOUS
TCS.NS,40b61a24a045,AMBIGUOUS
TCS.NS,68df90ea3a2f,AMBIGUOUS
TCS.NS,39f892ad8a37,AMBIGUOUS
TECHM.NS,e252ca12ff9b,AMBIGUOUS
TECHM.NS,5011305981a8,AMBIGUOUS
TECHM.NS,44f46805464f,AMBIGUOUS
TITAN.NS,f22de148c0b9,AMBIGUOUS
TITAN.NS,67c0dc7422a2,AMBIGUOUS
TITAN.NS,c62d01aa5314,AMBIGUOUS
TRENT.NS,8dd0db56b45b,AMBIGUOUS
TRENT.NS,67fe9e438970,AMBIGUOUS
TRENT.NS,9106deb806b5,AMBIGUOUS
ULTRACEMCO.NS,2b6d15d443e9,AMBIGUOUS
ULTRACEMCO.NS,8755f4b0285f,AMBIGUOUS
ULTRACEMCO.NS,2c6e05607985,AMBIGUOUS
WIPRO.NS,9ff5cf2a14aa,AMBIGUOUS
WIPRO.NS,1999ed4012b1,AMBIGUOUS
WIPRO.NS,6873fcb78722,AMBIGUOUS
