ticker,OHLCV_latest,OHLCV_status,PCR_dependency,PCR_latest,PCR_status,news_latest,news_age,news_7d_status,sector_status,fii_dii_status,active_model_version,feature_pipeline_version,feature_contract_status,overall_readiness
JSWSTEEL.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,f6cbf70e626f,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
KOTAKBANK.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,572bb63ba388,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
LT.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,8c272c989297,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
M&M.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,a82ca768507c,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
MARUTI.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,7ef4e7eabc45,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
MAXHEALTH.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,89ccde0bb6bb,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
NESTLEIND.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,f04bde3608d3,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
NTPC.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,a97c5bf097c4,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ONGC.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,f9edf9feaee0,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
POWERGRID.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,baeacbd6a8ee,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
